pubmed_id,abstract,topic
7543914,"Fluorescent conjugates of brefeldin A selectively stain the endoplasmic reticulum and Golgi complex of living cells. The fungal metabolite brefeldin A (BFA) interferes with vesicular trafficking in most animal cells. To gain insight into the mechanism of BFA action, we esterified it to the fluorophore, boron dipyromethene difluoride (BODIPY). BODIPY-BEA localized predominantly in the endoplasmic reticulum (ER) and Golgi complex of viable cells and was extracted by detergent treatment, suggesting it interacts primarily with lipid bilayers. The localization of the conjugate is conferred by BFA, since free BODIPY or BODIPY esterified to cyclopentanol did not specifically localize to internal membranes. BODIPY-BFA exhibited a similar biological activity to BFA, but only when used at higher concentrations and after a delay. HPLC analysis revealed that over this period, cells converted BODIPY-BFA to species co-eluting with free BODIPY and BFA. Therefore, BODIPY-BFA is probably inactive until BFA is released by cellular esterases. The specific localization of BODIPY-BFA to the ER and Golgi complex suggests that BFA might exert its effects on vesicular trafficking by perturbing the lipid bilayer of its target organelles. Because BODIPY-BFA intensely stains the ER at concentrations that have no discernible effects on intracellular transport or other cellular functions, it should be useful for visualizing the ER in living cells.",Immunology
7543377,"Relationship between hprt mutant frequency, aromatic DNA adducts and genotypes for GSTM1 and NAT2 in bus maintenance workers. We have studied the mutant frequency in the human gene for hypoxanthine-guanine phosphoribosyl transferase (hprt) using the T-cell cloning assay, the aromatic DNA adduct level using the 32P-postlabelling assay, and related the levels of these biomarkers to the genotypes for glutathione transferase (GST mu) and N-acetyltransferase (NAT2) in non-smoking bus maintenance workers exposed to diesel exhaust. No difference in mutant frequency was observed between the 47 exposed (8.6 x 10(-6), age range 27-65) and the 22 control individuals (8.4 x 10(-6), age range 23-61), while the difference in adduct level (3.2 versus 2.3 x 10(-8)) was highly significant (P = 0.0009). Both mutant frequency and adduct level were highest in the 16 most heavily exposed workers. Overall, a significant increase of mutant frequency was observed with adduct level (P = 0.008) as well as with age (P < 0.0001). The age dependence was higher in the GSTM1-negative slow acetylators (3.1%/year) as compared to the three other genotype combinations (2.4-2.5%/year). There was no significant difference in mutant frequency or in adduct level between the GSTM1-negative (49.3% of the population) and positive individuals, or between the slow (60.9% of the population) and rapid acetylators. Among the slow acetylators, however, a significantly higher adduct level (P = 0.03) was obtained for the GSTM1-negative individuals as compared to the GSTM1-positive individuals. These results suggest a possible role of both GST mu and NAT2 for individual susceptibility to carcinogen exposure.",Immunology
7543329,"Prostatic aperture resulting from visual laser ablation: classification system based on follow-up endoscopy. To study the evolving prostatic aperture created by visual laser ablation (VLAP), we performed 38 video-endoscopies in 24 men with prostatism at various intervals 2 weeks to 1 year after treatment. Complete healing was generally observed within 3 to 4 months, never before 6 weeks; and in some patients, tissue sloughing was still apparent beyond 6 months. By review of the cystoscopic findings and video hard copies, three independent observers classified the healed prostatic apertures with great uniformity into one of four categories: (I) minimal change (lateral lobes still meet in midline throughout gland length) (N = 3); (II) minor aperture (opening less than 50% of cystoscopic field over less than 50% of gland length) (N = 5); (III) major aperture (opening more than 50% of cystoscopic field over more than 50% of gland length) (N = 11); and (IV) full ablation (nearly complete replacement of lobar configuration with a general concavity) (N = 5). Clinical outcomes (symptom scores, uroflow rates) matched with follow-up cystoscopic categories but not with any other readily identifiable measures. The four-category system proved to be simple, reproducible, and clinically relevant. If a standardized tissue aperture is the ultimate aim of new methods to ablate the prostate, the proposed system for classifying the aperture could have a considerable future application.",Immunology
7543274,"Renal allograft rejection in children and young adults: the Banff classification. In the Banff classification, arteritis and tubulitis are regarded as the principal histological lesions indicating acute renal allograft rejection. To test this claim, we examined 51 biopsies obtained from 21 children and young adults with transplant rejection. Two reviewers, blind to the clinical course, graded the biopsies according to the Banff scheme. In patients without significant tubulitis (borderline changes), rejection tended to be reversed easily (88%), often with methylprednisolone pulse (52%). In patients with arteritis or significant tubulitis (Banff I-III), rejection was reversed in only 23% (P < 0.001), in 9% with steroids, and in 14% with OKT3. Salvage of the graft was achieved in 26 of 35 (74%) with a score < 5 but in only 1 of 12 (8%) with a score > or = 5 (P < 0.001). All 6 patients with vasculitis lost their grafts despite methylprednisolone pulse and OKT3. We conclude that the Banff classification predicts accurately the outcome of renal allograft rejection in children and may aid in choosing appropriate therapy.",Immunology
7543048,"Distinct tissue distribution in pigs of tenascin-X and tenascin-C transcripts. Tenascin-X and tenascin-C glycoproteins are phylogenetically conserved components of the extracellular matrix, although their specific roles remain to be determined. cDNA probes were produced from pig tenascin-X and tenascin-C genes and were used to examine the tissue distribution of the transcripts in 28 tissues from Large-White pigs, 4.5-42-months old (called adults) and 17 tissues from 87-day-old fetuses. The hybridization of Northern blots with tenascin-X probes revealed, in most tissues, a complex pattern of bands including a major band of about 13 kb, assumed to correspond to the main tenascin-X transcript. Hybridization with the tenascin-C probe showed two transcripts of 6.8 kb and 8.2 kb. The data from the ribonuclease-protection technique showed that both genes displayed large variations in the transcription levels among the tissues analysed. Overall, the tenascin-X gene was significantly expressed in two thirds of the tissues, and the tenascin-C gene in about 50% of them. The highest tenascin-X signals were observed in tendons, ligaments and, unexpectedly, in peripheral nerves. Other tissues, including colon, dermis, skin, heart, uterus, stomach, jejunum, placentae, aorta, lung, mammary and adrenal glands also exhibited significant signal intensities. In fetuses, mainly testes and skeletal muscle showed higher transcription levels than the adult counterparts. The tenascin-C gene was predominantly transcribed in the ligament, tendon, adrenal gland and colon, and more weakly in the stomach, jejunum, lung and spinal cord. In fetuses, the tenascin-C signal in the brain was higher than the signal in the brain of adult, whereas the reverse was true for the adrenal gland and the colon. Within a given tissue, the level of tenascin-X and tenascin-C transcripts varied greatly, indicating independent tenascin-X and tenascin-C transcription regulation mechanisms; this was particularly obvious in adult and fetal nerves but also in the dermis, skin, heart, uterus, placentae and aorta, where tenascin-X RNA molecules were much more abundant than those of tenascin-C. In addition, similar differences were observed in the skeletal muscle and adrenal gland of fetuses. In contrast, the amount of tenascin-C transcripts in the fetal brain and adult spinal cord was higher than those for tenascin-X. Our results draw attention to a possible specific role of tenascin-X in the peripheral nerve physiology.",Immunology
7542968,"Urodynamics and laser prostatectomy. A total of 81 patients with symptomatic bladder-outlet obstruction (BOO) due to benign prostatic hyperplasia (BPH) underwent visual laser ablation of the prostate (VLAP) using a right-angled firing neodynium: YAG laser. The mean pre-operative prostatic volume was 48.5 ml. All patients were discharged on the 1st post-operative day with an indwelling catheter. Two patients underwent a transurethral prostatectomy (TURP) after failing a trial without catheter on two occasions. Of the remaining 79 patients, 75 were evaluated 6 months post-operatively. Mean symptom scores (I-PSS) decreased from 20.9 to 5.8, the mean maximal urinary flow rate increased from 7.9 to 16.4 ml/s and the mean residual volume decreased from 88.1 to 15.6 ml. Several different methods of evaluating BOO from pressure-flow measurements were used and all showed improvement. All the above-mentioned parameters showed a highly significant improvement (P < 0.01) at 6 months.",Immunology
7542605,"Selective killing of T cells by immunotoxins directed at distinct V beta epitopes of the T cell receptor. The potency and specificity of anti-T cell receptor (TcR)-directed immunotoxins were studied in two T cell leukemia lines, HPB-ALL and Jurkat, and in primary T cells. Immunoconjugates were synthesized using anti-CD3, or distinct anti-V beta antibodies cross-linked to CRM9, a binding site-mutant of diphtheria toxin. All TcR-expressing cells display the CD3 complex on the plasma membrane. HPB-ALL cells express the V beta 5 gene product in the beta subunit of the TcR, while Jurkat cells express V beta 8. V beta expression in primary T cells isolated from buffy coats is heterogeneous. Primary T cell populations expressing specific V beta epitopes in the TcR were generated by plating CD3+ T cells on V beta-specific antibody-coated flasks or by positive immunomagnetic selection. Immunotoxins directed against the invariant CD3 epsilon epitope target and kill all T cells. Immunoconjugates targeted at distinct anti-V beta epitopes are specific for cells that express the corresponding gene product in the TcR. The results demonstrate the ability of anti-TcR-based immunotoxins selectively to kill T cells with defined V beta epitopes. These reagents may be clinically useful in disorders mediated by autoreactive T cell populations exhibiting V beta restriction and in the treatment of clonal TcR-expressing lymphomas.",Immunology
7542348,"Structural changes in base-paired region 28 in 16 S rRNA close to the decoding region of the 30 S ribosomal subunit are correlated to changes in tRNA binding. Escherichia coli 30 S ribosomal subunits undergo a reversible change under low monovalent or divalent cation concentration and become inactive in tRNA binding and 50 S subunit association. In the inactive form, 16 S rRNA base-pairs (921-922).(1395-1396) and (923-925).(1391-1393), which are part of region 28, are unstable and an alternate arrangement, (921-923).(1532-1534), is detected by psoralen photochemical crosslinking. Site-directed mutagenesis has been used to investigate whether changes in base-paired region 28 or the alternate secondary structure is responsible for the inactivity of the subunit. 30 S subunits with the substitution C1533A or with deletion of nucleotides 1534 to 1542 can still be inactivated like the wild-type 30 S subunit. On the other hand, 30 S subunits that contain sequence changes in the 920 to 926 region show moderate to severe decreases in tRNA binding even under activating conditions. When 30 S subunits containing these mutations were subjected to chemical probing, they failed to show the normal hyper-reactivity of nucleotide G926 and, instead, reactivity was shifted to G925 or to G928, and G929. Two mutations in the 920 region result in structures in which A1394 is base-paired rather than being unpaired as normal; deletion but not substitution of A1394 resulted in loss of tRNA binding activity and depression of the reactivity of G926. Mutations were made to insert or delete a nucleotide at position 920. The deletion mutant but not the insertion mutant has decreased tRNA binding activity and also low reactivity of G926. We conclude that structural changes in region 28 account for the active/inactive difference in tRNA binding. Molecular models of region 28 were made using the program MC-SYM. Models that include a hydrogen bond interaction between A1394 and G1392 account for the G926 reactivity in the wild-type sequence and account for the effects of most of the mutations in changing the G926 reactivity.",Immunology
7542324,"Identification by gas chromatography-mass spectrometry of an adduct between pure pig plasma benzylamine oxidase and the inhibitor 3,5-diethoxy-4-aminomethylpyridine. 3,5-Diethoxy-4-aminomethylpyridine (B24) interacts with pure pig plasma benzylamine oxidase (BAO), giving a Schiff base with the carbonyl active site. This Schiff base was reduced, isolated by chemical hydrolysis of the enzyme, purified by HPLC and identified by gas chromatography-mass spectrometry (GC-MS) after derivatization. The isolated B24 adduct had the same absorption spectrum, retention time on HPLC and GC and the same mass spectrum as B24-pyridoxamine. B24, which is a reversible enzyme inhibitor, is also a weak substrate and competes with benzylamine, which is the best substrate, for the active site. These results further indicate the presence of pyridoxal-phosphate covalently linked to the pig plasma benzylamine oxidase and involved in the active site of this enzyme.",Immunology
7542313,"Increased nitric oxide synthase activities and L-[3H]arginine uptake in brain following portacaval anastomosis. Glutamatergic synaptic dysfunction has been proposed as a causal factor in portal-systemic encephalopathy. Increased in vitro and in vivo glutamate release and decreased glutamate binding to NMDA receptors were previously reported in the brains of portacaval-shunted rats. Such changes could lead to alterations in the second messenger systems coupled to glutamate receptors. As NMDA receptors have been shown to act via the nitric oxide/cyclic GMP second messenger system, we studied the activities of constitutive nitric oxide synthase (NOS) in the brains of rats following portacaval shunting. Results demonstrate that NOS activities are significantly increased in cerebellum (by 54%, p < 0.01), cerebral cortex (by 65%, p < 0.01), hippocampus (by 88%, p < 0.01), and striatum (by 64%, p < 0.01) of shunted rats compared with sham-operated controls. As L-arginine transport is a prerequisite for nitric oxide production, we also studied L-[3H]arginine transport into cerebellar and cerebral cortical synaptosomes prepared from the brains of portacaval-shunted and sham-operated rats. L-[3H]Arginine uptake was significantly increased (by approximately 50%, p < 0.01) in both cerebellum and cortex. Increased NOS activities of neuronal and/or astrocytic origin and the resultant increased production of nitric oxide in brain could be the consequence of increased NMDA receptor activation following portacaval shunting. Furthermore, increased nitric oxide production could contribute to the increased cerebral blood flow consistently observed following portacaval shunting.",Immunology
