pubmed_id,titre,abstract
7537828,Assessment of quantitative models for plasmid ColE1 copy number control,Two quantitative models of plasmid ColE1 copy number control are compared with respect to mathematical logic of derivation and application to experimental observations
7537684,Role of eicosanoids but not nitric oxide in the platelet-activating factor-induced increase in vascular permeability in mouse skin,We investigated the role of endogenous eicosanoids and nitric oxide (NO) in the platelet-activating factor (PAF)-induced increase in vascular permeability in mouse skin
7537678,Suppression of adjuvant-induced arthritis by selective inhibition of inducible nitric oxide synthase,"Adjuvant-induced arthritis is a model of chronic inflammation that exhibits several pathological changes similar to those occurring in rheumatoid arthritis, an autoimmune disease in humans characterized by chronic inflammation of the joints"
7537677,Comparison of the induction of cyclooxygenase and nitric oxide synthase by endotoxin in endothelial cells and macrophages,Endotoxin causes the expression of inducible nitric oxide (NO) synthase and cyclooxygenase-2
7537640,Reticulocyte maturity pattern analysis as a predictive marker of erythropoiesis in paediatrics,Part II: Pilot study for clinical application
7537468,Tumor necrosis factor induces E-selectin production in splanchnic artery occlusion shock,Splanchnic arteries were clamped for 45 min to induce splanchnic artery occlusion (SAO) shock in anesthetized rats
7537467,Cytokines activate inducible nitric oxide synthase gene transcription in inner medullary collecting duct cells,"The effects of lipopolysaccharide (LPS) and/or inflammatory cytokines on the expression of inducible nitric oxide synthase (iNOS) were studied in mIMCD-3 cells, derived from the murine inner medullary collecting duct"
7537420,Exocytotic Ca2+ channels in mammalian central neurons,"Intracellular Ca2+ initiates physiological events as diverse as gene transcription, muscle contraction, cell division and exocytosis"
7537354,Cellular mechanism of melatonin action in neonatal rat pituitary,Melatonin inhibits gonadotropin-releasing hormone (GnRH)-induced luteinizing hormone (LH) release from neonatal rat anterior pituitary
7536639,[Bleomycin-induced fibroblast proliferation is inhibited by IH764-3],It reports that IH764-3 has both therapeutical and prophylactic effect on bleomycin-induced pulmonary fibrosis in rats and mice
7536205,Effect of insulin on the insulin-like growth factor system in children with new-onset insulin-dependent diabetes mellitus,"To further characterize the mechanism of impaired growth in children with insulin-dependent diabetes mellitus, we examined the serum components of the insulin-like growth factor (IGF) system in 11 children with new-onset insulin-dependent diabetes mellitus and followed the effect of insulinization on the IGF system longitudinally 1 day, 1 week, and 1 month after starting insulin treatment"
7535902,Cytokine-dependent K+ channel profile of microglia at immunologically defined functional states,Microglia were enriched in brain cell cultures from newborn mice as a result of supplementation with the growth factors macrophage colony-stimulating factor or granulocyte/macrophage colony-stimulating factor
7535889,Thallium increases monoamine oxidase activity and serotonin turnover rate in rat brain regions,The effect of thallium acetate administration on monoaminergic pathways was studied in male Wistar rats using 30 mg/kg and 50 mg/kg acute IP doses
7534972,[Clinical evaluation of TANDEM PSA in Japanese cases and comparison with other methods],Clinical evaluation of TANDEM PSA which is the most frequently used prostate specific antigen (PSA) assay method in the world and a comparison with other methods were performed in Japanese cases in a cooperative research fashion
7534838,[Effects of combined aprotinin and prostagrandin E1 therapy on aortic arch replacement],This study was undertaken to compare the effects of combined aprotinin and prostaglandin E1 therapy on aortic arch replacement
7534602,Regional variations in the pharmacology of AMPA receptors as revealed by receptor autoradiography,"Using quantitative autoradiography, we examined the ability of NBQX (2,3-dihydro-6-nitro-7-sulfamoyl-benzo(f)-quinoxaline), S-AMPA (alpha-amino-3-hydroxy-5-methylisoxazole propionic acid), L-glutamate and NS-257 (1,2,3,6,7,8-hexahydro-3-(hydroxyimino)- N,N,7-trimethyl-2-oxobenzo[2,1-b:3,4-c']dipyrrole-5-sulfonam ide) to compete for [3H]AMPA binding sites in several forebrain regions and cerebellar cortex"
7534821,E2 and NS5: new antigens for detection of hepatitis C virus antibodies,The value of two new hepatitis C virus (HCV) antigens for detection of HCV antibodies was studied
7534803,Nested sets of protein fragments and their use in epitope mapping: characterization of the epitope for the S4D5 monoclonal antibody binding to receptor associated protein,The present report describes a new general procedure by which linear and some structure-dependent epitopes may be mapped in a protein antigen using a nested set of protein fragments prepared from partial proteolysis products of a recombinant protein
7534783,Ultrastructural localization of vascular permeability factor/vascular endothelial growth factor (VPF/VEGF) to the abluminal plasma membrane and vesiculovacuolar organelles of tumor microvascular endothelium,"Vascular permeability factor/vascular endothelial growth factor (VPF/VEGF) is a cytokine secreted by many animal and human tumors, activated macrophages, keratinocytes, rheumatoid synovial cells, embryonic tissues, and by cultured epithelial and mesenchymal cell lines"
7534691,"Effect of atrazine herbicide on growth, photosynthesis, protein synthesis, and fatty acid composition in the unicellular green alga Chlorella kessleri","Sublethal atrazine concentrations induced a general inhibition on growth, photosynthesis, and dark respiration in the green alga Chlorella kessleri"
7534385,Enhancement of NMDA-mediated responses by cyanide,The effect of cyanide on NMDA-activated ion current and MK801 binding was studied in cultured rat hippocampal neurons
7533143,Migraine in children,"A descriptive study was carried out to find out the clinical profile, and electroencephalographic (EEG) changes in children with migraine"
7533052,Pathophysiology and treatment of negative symptoms,The assessment and clinical characterization of the negative symptoms of schizophrenia are reviewed
7533047,Human nasal absorption of 51Cr-EDTA in smokers and control subjects,Passive exposure to cigarette smoke has emerged as a significant risk factor in the development of asthma and allergic airways disease
7532935,[Immunohistochemistry in pathology of the breast,Current diagnostic and prognostic contributions]
7532792,Characterization of a pan-lymphocyte monoclonal antibody useful in differentiating leukemic from normal myeloid progenitors and monocytes from macrophages,A monoclonal antibody (McAb) designated 3A2 that recognizes a 51 kDa epitope having surface density of 37 x 10(8) per MOLT-4 cells is described
7532656,An osmium-free method of epon embedment that preserves both ultrastructure and antigenicity for post-embedding immunocytochemistry,"Immunocytochemistry for amino acids with post-embedding gold is compatible with glutaraldehyde fixation, osmication, and embedding in epoxy-based plastics, but immunogold detection of larger molecules in the central nervous system commonly requires special procedures, e.g"
7532638,Neuronal and endothelial nitric oxide synthase immunoreactivity and NADPH-diaphorase staining in rat and human pancreas: influence of fixation,"In this study, we wished to clarify the distribution and co-localization of nitric oxide synthase and NA-DPH-diaphorase (NADPH-d) in nerve cells, nerve fibres and parenchymal cells in exocrine and endocrine pancreas, and to assess the influence of fixation on the staining pattern obtained"
7532634,Effects of antigen retrieval by microwave heating in formalin-fixed tissue sections on a broad panel of antibodies,Formaldehyde fixation of biopsy specimens for routine purposes has often been held responsible for the poor reproducibility of immunohistochemical studies
7532609,Modulation of glutathione S-transferase activity and isozyme pattern in liver and small intestine of rats fed goitrin- and T3-supplemented diets,Goitrin is a potent goitrogen that has been shown to induce glutathione S-transferase (GST) activity and to increase aflatoxin detoxification
7532598,Screening for ophthalmic manifestations of sickle cell disease in the United Kingdom,There are marked variations in the manifestations of sickle disease in different populations
7532574,Effects of hemi-thalamic damage on K-complexes evoked by monaural stimuli during midafternoon sleep,Polygraphic recording of midafternoon sleep were made in two patients with unilateral hemorrhagic infarction in the thalamus
