pubmed_id,abstract,topic,clean
7544188,"""Rebound"" phenomenon of hepatitis C viremia after interferon therapy in ""relapsed"" patients with chronic hepatitis C. The correlation between serum hepatitis C virus (HCV)-RNA and aminotransferase levels following completion of interferon therapy was evaluated in eight relapsed patients with chronic hepatitis C. Both HCV-RNA and aminotransferase levels were significantly increased in the relapsed patients 1 month after completion of therapy, compared to pretreatment values, despite aminotransferase levels being normal and HCV-RNA being undetectable by reverse transcription polymerase chain reaction assay at the end of therapy. The serum levels of HCV-RNA and aminotransferase were significantly elevated 1 and 2 months post-treatment. They then decreased to pretreatment values 3-5 months after the completion of therapy. Thus, in relapsed patients after the completion of therapy, the changes in HCV-RNA levels preceded the elevation in aminotransferase levels. These findings suggest a correlation between serum HCV-RNA levels and aminotransferase levels in relapsed patients with chronic hepatitis C after the completion of interferon therapy.",Gene therapy,rebound phenomenon hepatitis viremia interferon therapy relapsed patient chronic hepatitis correlation serum hepatitis virus hcvrna aminotransferase level following completion interferon therapy evaluated eight relapsed patient chronic hepatitis hcvrna aminotransferase level significantly increased relapsed patient month completion therapy compared pretreatment value despite aminotransferase level normal hcvrna undetectable reverse transcription polymerase chain reaction assay end therapy serum level hcvrna aminotransferase significantly elevated month posttreatment decreased pretreatment value month completion therapy thus relapsed patient completion therapy change hcvrna level preceded elevation aminotransferase level finding suggest correlation serum hcvrna level aminotransferase level relapsed patient chronic hepatitis completion interferon therapy
7543681,"Probing the transmembrane topology of cyclic nucleotide-gated ion channels with a gene fusion approach. Cyclic nucleotide-gated (CNG) cation channels contain two short sequence motifs--a residual voltage-sensor (S4) and a pore-forming (P) segment--that are reminiscent of similar segments in voltage-activated Shaker-type K+ channels. It has been tacitly assumed that CNG channels and this K+ channel subfamily share a common overall topology, characterized by a hydrophobic domain comprising six membrane-spanning segments. We have systematically investigated the topology of CNG channels from bovine rod photoreceptor and Drosophila melanogaster by a gene fusion approach using the bacterial reporter enzymes alkaline phosphatase and beta-galactosidase, which are active only in the periplasm and only in the cytoplasm, respectively. Enzymatic activity was determined after expression of fusion constructs in Escherichia coli. CNG channels were found to have six membrane-spanning segments, suggesting that CNG and Shaker-type K+ channels, albeit distant relatives within a gene superfamily of ion channels, share a common topology.",Gene therapy,probing transmembrane topology cyclic nucleotidegated ion channel gene fusion approach cyclic nucleotidegated cng cation channel contain two short sequence motifsa residual voltagesensor poreforming segmentthat reminiscent similar segment voltageactivated shakertype channel tacitly assumed cng channel channel subfamily share common overall topology characterized hydrophobic domain comprising six membranespanning segment systematically investigated topology cng channel bovine rod photoreceptor drosophila melanogaster gene fusion approach using bacterial reporter enzyme alkaline phosphatase betagalactosidase active periplasm cytoplasm respectively enzymatic activity determined expression fusion construct escherichia coli cng channel found six membranespanning segment suggesting cng shakertype channel albeit distant relative within gene superfamily ion channel share common topology
7543632,"Autolymphocyte therapy. III. Effective adjuvant adoptive cellular therapy with in vivo anti-tumor specificity against murine melanoma and carcinoma using ex-vivo-activated memory T-lymphocytes. Autolymphocyte therapy (ALT) is adoptive cellular therapy of neoplastic disease based upon ex vivo activation of lymphocytes by either the supernatant derived from a previously prepared one-way mixed lymphocyte culture (MLC) or using low doses of the mitogenic monoclonal antibody OKT3 and a mixture of previously prepared cytokines (T3CS). We have previously demonstrated that nonspecific ex vivo activation of splenocytes from murine tumor-bearing hosts (TBH) using an MLC-supernatant or T3CS without the use of tumor antigen results in the expansion of the CD44+ (memory) T-cell subset. These CD44+ T-cells are the principal mediators of anti-tumor specificity in the ALT-cell population in advanced metastatic murine tumors and are able to protect against tumor challenge in healthy syngeneic mice (HSM). To determine if ALT is effective in an adjuvant setting, C57BL/6J splenocytes from HSM and TBH with B16 melanoma or Lewis lung (3LL) carcinoma were activated ex vivo using T3CS. Mice were implanted with either B16 melanoma or 3LL carcinoma and then underwent surgical excision of tumor. Tumor-excised mice (TEM) then received small numbers (10(6)) of ALT-cells derived from 3LL-TBH or B16-TBH splenocytes, HSM-derived ALT-cells, fresh splenocytes derived from 3LL-TBH or B16-TBH, or CD44-depleted ALT-cells. Significant anti-tumor activity as shown by prolonged survival (Day 100), cure of disease, and rejection of a local and systemic tumor rechallenge was demonstrated in 3LL-TEM that received B16-derived ALT-cells.(ABSTRACT TRUNCATED AT 250 WORDS)",Gene therapy,autolymphocyte therapy iii effective adjuvant adoptive cellular therapy vivo antitumor specificity murine melanoma carcinoma using exvivoactivated memory tlymphocytes autolymphocyte therapy alt adoptive cellular therapy neoplastic disease based upon ex vivo activation lymphocyte either supernatant derived previously prepared oneway mixed lymphocyte culture mlc using low dos mitogenic monoclonal antibody okt mixture previously prepared cytokine tc previously demonstrated nonspecific ex vivo activation splenocytes murine tumorbearing host tbh using mlcsupernatant tc without use tumor antigen result expansion cd memory tcell subset cd tcells principal mediator antitumor specificity altcell population advanced metastatic murine tumor able protect tumor challenge healthy syngeneic mouse hsm determine alt effective adjuvant setting cblj splenocytes hsm tbh melanoma lewis lung carcinoma activated ex vivo using tc mouse implanted either melanoma carcinoma underwent surgical excision tumor tumorexcised mouse tem received small number altcells derived lltbh btbh splenocytes hsmderived altcells fresh splenocytes derived lltbh btbh cddepleted altcells significant antitumor activity shown prolonged survival day cure disease rejection local systemic tumor rechallenge demonstrated lltem received bderived altcellsabstract truncated word
7543577,"Syntheses, calcium channel agonist-antagonist modulation activities, and voltage-clamp studies of isopropyl 1,4-dihydro-2,6-dimethyl-3-nitro-4-pyridinylpyridine-5-carboxylate racemates and enantiomers. A novel group of racemic isopropyl 1,4-dihydro-2,6-dimethyl-3-nitro-4-pyridinylpyridine-5-carboxylate isomers [(+/-)-12-14] were prepared using a modified Hantzsch reaction that involved the condensation of nitroacetone with isopropyl 3-aminocrotonate and 2-, 3-, or 4-pyridinecarboxaldehyde. Determination of their in vitro calcium channel-modulating activities using guinea pig ileum longitudinal smooth muscle (GPILSM) and guinea pig left atrium (GPLA) assays showed that the 2-pyridinyl isomer (+/-)-12 acted as a dual cardioselective calcium channel agonist (GPLA)/smooth muscle selective calcium channel antagonist (GPILSM). In contrast, the 3-pyridinyl [(+/-)-13] and 4-pyridinyl [(+/-)-14] isomers acted as calcium channel agonists on both GPLA and GPILSM. The agonist effect exhibited by (+/-)-12 on GPLA was inhibited by nifedipine and partially reversed by addition of extracellular Ca2+. In anesthetized rabbits, the 4-pyridinyl isomer (+/-)-14 exhibited a hypertensive effect that was qualitatively similar to that exhibited by the nonselective agonist Bay K 8644 and the 3-pyridinyl isomer (+/)-13, whereas the 2-pyridinyl isomer (+/-)-12 induced a hypotensive effect similar to that of the calcium channel antagonist nifedipine. Similar results were obtained in a spontaneously hypertensive rat model. In vitro studies showed that the (+)-2-pyridinyl enantiomer (+)-12A exhibited agonist activity on both GPILSM and GPLA, but that the (-)-2-pyridinyl enantiomer (-)-12B exhibited agonist activity on GPLA and antagonist activity on GPILSM. Whole-cell voltage-clamp studies using isolated guinea pig ventricular myocytes indicated that (-)-12B inhibited the calcium current (ICa), that (+)-12A increased slightly ICa, and that (+/-)-12 inhibited ICa but the latter inhibition was less than that for (-)-12B. (-)-12B effectively inhibited ICa at all membrane potentials examined (-40-50 mV), whereas (+)-12A exhibited a weak agonist effect near the peak of the I-V curve. The 2-pyridinyl isomers (enantiomers) 12 represent a novel type of 1,4-dihydropyridine calcium channel modulator that could provide a potentially new approach to drug discovery targeted toward the treatment of congestive heart failure and probes to study the structure-function relationships of calcium channels.",Gene therapy,synthesis calcium channel agonistantagonist modulation activity voltageclamp study isopropyl dihydrodimethylnitropyridinylpyridinecarboxylate racemates enantiomer novel group racemic isopropyl dihydrodimethylnitropyridinylpyridinecarboxylate isomer prepared using modified hantzsch reaction involved condensation nitroacetone isopropyl aminocrotonate pyridinecarboxaldehyde determination vitro calcium channelmodulating activity using guinea pig ileum longitudinal smooth muscle gpilsm guinea pig left atrium gpla assay showed pyridinyl isomer acted dual cardioselective calcium channel agonist gplasmooth muscle selective calcium channel antagonist gpilsm contrast pyridinyl pyridinyl isomer acted calcium channel agonist gpla gpilsm agonist effect exhibited gpla inhibited nifedipine partially reversed addition extracellular ca anesthetized rabbit pyridinyl isomer exhibited hypertensive effect qualitatively similar exhibited nonselective agonist bay pyridinyl isomer whereas pyridinyl isomer induced hypotensive effect similar calcium channel antagonist nifedipine similar result obtained spontaneously hypertensive rat model vitro study showed pyridinyl enantiomer exhibited agonist activity gpilsm gpla pyridinyl enantiomer exhibited agonist activity gpla antagonist activity gpilsm wholecell voltageclamp study using isolated guinea pig ventricular myocytes indicated inhibited calcium current ica increased slightly ica inhibited ica latter inhibition le effectively inhibited ica membrane potential examined mv whereas exhibited weak agonist effect near peak iv curve pyridinyl isomer enantiomer represent novel type dihydropyridine calcium channel modulator provide potentially new approach drug discovery targeted toward treatment congestive heart failure probe study structurefunction relationship calcium channel
7543499,Unexpected dystonia while changing from clozapine to risperidone. ,Gene therapy,unexpected dystonia changing clozapine risperidone
7543044,"The role of the NPXY motif in the insulin receptor in tyrosine phosphorylation of insulin receptor substrate-1 and Shc. The insulin receptor phosphorylates insulin receptor substrate-1 (IRS-1) and Shc on tyrosine residues, both of which associate with the protein-abundant Src homology/growth factor receptor-bound protein 2(ASH/GRB2) leading to p21ras activation. Juxtamembrane Tyr960 of the insulin receptor required for tyrosine phosphorylation of both IRS-1 and Shc is contained in the NPXY motif, which is also present in other tyrosine kinase receptors and oncogene products. In this study, the role of this motif in insulin's signaling was examined in Chinese hamster ovary cells expressing insulin receptors with mutations in this motif. All alterations in Tyr960 examined decreased tyrosine phosphorylation of both IRS-1 and Shc to a similar extent. The replacements of Asn957 and the deletion of NPE impaired tyrosine phosphorylation of Shc and IRS-1, although tyrosine phosphorylation of Shc was more severely affected than that of IRS-1. The amount of ASH/GRB2 bound to IRS-1 and Shc in vitro and in vivo was also decreased in these cells. These data suggest that the NPXY motif in the insulin receptor is important for tyrosine phosphorylation of both IRS-1 and Shc as well as subsequent signaling.",Gene therapy,role npxy motif insulin receptor tyrosine phosphorylation insulin receptor substrate shc insulin receptor phosphorylates insulin receptor substrate irs shc tyrosine residue associate proteinabundant src homologygrowth factor receptorbound protein ashgrb leading pras activation juxtamembrane tyr insulin receptor required tyrosine phosphorylation irs shc contained npxy motif also present tyrosine kinase receptor oncogene product study role motif insulin signaling examined chinese hamster ovary cell expressing insulin receptor mutation motif alteration tyr examined decreased tyrosine phosphorylation irs shc similar extent replacement asn deletion npe impaired tyrosine phosphorylation shc irs although tyrosine phosphorylation shc severely affected irs amount ashgrb bound irs shc vitro vivo also decreased cell data suggest npxy motif insulin receptor important tyrosine phosphorylation irs shc well subsequent signaling
7543043,"Suppression of development of experimental autoimmune thyroiditis by oral administration of thyroglobulin. Experimental autoimmune thyroiditis (EAT), which to some extent represents an experimental model of human chronic lymphocytic thyroiditis, is an organ-specific autoimmune disease characterized by autoantibody production to thyroid antigens (Ag) and mononuclear infiltration of the thyroid gland. EAT induced by immunization with human thyroglobulin (hTG) with Freund's adjuvant in CBA/J (H-2K) mice is associated with prominent B and T cell responses. We report that oral administration of hTG effectively reduces the immune responses in EAT in mice in an Ag-specific manner. Both cellular and humoral immune responses are reduced in a dose-dependent manner. Histological evidence of disease is dramatically reduced. Suppression of the immune responses is seen 2 weeks after Ag challenge, with partial inhibition of proliferative and antibody responses. Six weeks after immunization, further inhibition is observed of both T and B cell responses. Hyporesponsiveness of T and B cell reactivity is seen only to hTG; T and B cell responses to other immunogens are not affected, including purified protein derivative and the nonrelated Ag BSA. This model may provide the basis for immunotherapy of autoimmune thyroid diseases in man.",Gene therapy,suppression development experimental autoimmune thyroiditis oral administration thyroglobulin experimental autoimmune thyroiditis eat extent represents experimental model human chronic lymphocytic thyroiditis organspecific autoimmune disease characterized autoantibody production thyroid antigen ag mononuclear infiltration thyroid gland eat induced immunization human thyroglobulin htg freunds adjuvant cbaj hk mouse associated prominent cell response report oral administration htg effectively reduces immune response eat mouse agspecific manner cellular humoral immune response reduced dosedependent manner histological evidence disease dramatically reduced suppression immune response seen week ag challenge partial inhibition proliferative antibody response six week immunization inhibition observed cell response hyporesponsiveness cell reactivity seen htg cell response immunogen affected including purified protein derivative nonrelated ag bsa model may provide basis immunotherapy autoimmune thyroid disease man
7542968,"Urodynamics and laser prostatectomy. A total of 81 patients with symptomatic bladder-outlet obstruction (BOO) due to benign prostatic hyperplasia (BPH) underwent visual laser ablation of the prostate (VLAP) using a right-angled firing neodynium: YAG laser. The mean pre-operative prostatic volume was 48.5 ml. All patients were discharged on the 1st post-operative day with an indwelling catheter. Two patients underwent a transurethral prostatectomy (TURP) after failing a trial without catheter on two occasions. Of the remaining 79 patients, 75 were evaluated 6 months post-operatively. Mean symptom scores (I-PSS) decreased from 20.9 to 5.8, the mean maximal urinary flow rate increased from 7.9 to 16.4 ml/s and the mean residual volume decreased from 88.1 to 15.6 ml. Several different methods of evaluating BOO from pressure-flow measurements were used and all showed improvement. All the above-mentioned parameters showed a highly significant improvement (P < 0.01) at 6 months.",Gene therapy,urodynamics laser prostatectomy total patient symptomatic bladderoutlet obstruction boo due benign prostatic hyperplasia bph underwent visual laser ablation prostate vlap using rightangled firing neodynium yag laser mean preoperative prostatic volume ml patient discharged st postoperative day indwelling catheter two patient underwent transurethral prostatectomy turp failing trial without catheter two occasion remaining patient evaluated month postoperatively mean symptom score ip decreased mean maximal urinary flow rate increased ml mean residual volume decreased ml several different method evaluating boo pressureflow measurement used showed improvement abovementioned parameter showed highly significant improvement month
7542771,"Effect of a novel cholecystokinin receptor antagonist, FK480, administered intraduodenally, on pancreatic secretion in rats. The effect of a new cholecystokinin (CCK)-A receptor antagonist, FK480, developed in Japan, on pancreatic exocrine secretion stimulated by exogenous CCK and intraduodenal casein was investigated in vivo when administered to anesthetized rats intraduodenally, and its CCK antagonistic activity was compared with that of CR 1505. Intraduodenal administration of FK480 at graded doses of 0.0016-1.0 mg/kg-h produced dose-dependent inhibition of pancreatic juice volume and amylase output stimulated by intravenous infusion of CCK-8 at a dose of 0.06 micrograms/kg-h. The half-maximal inhibitory dose (ID50) of FK480 for CCK-8-stimulated amylase secretion was 0.025 mg/kg-h, whereas the ID50 of CR 1505 was 5.2 mg/kg-h, indicating that FK480 is 208 times more potent than CR 1505. Moreover, intraduodenal FK480 (0.2 mg/kg-h) significantly suppressed pancreatic juice volume and amylase output augmented by intraduodenal infusion of casein (400 mg/h). It is concluded that FK480 administered intraduodenally has a significant, potent inhibitory action on the exocrine pancreas stimulated by exogenous CCK and intraduodenal casein.",Gene therapy,effect novel cholecystokinin receptor antagonist fk administered intraduodenally pancreatic secretion rat effect new cholecystokinin ccka receptor antagonist fk developed japan pancreatic exocrine secretion stimulated exogenous cck intraduodenal casein investigated vivo administered anesthetized rat intraduodenally cck antagonistic activity compared cr intraduodenal administration fk graded dos mgkgh produced dosedependent inhibition pancreatic juice volume amylase output stimulated intravenous infusion cck dose microgramskgh halfmaximal inhibitory dose id fk cckstimulated amylase secretion mgkgh whereas id cr mgkgh indicating fk time potent cr moreover intraduodenal fk mgkgh significantly suppressed pancreatic juice volume amylase output augmented intraduodenal infusion casein mgh concluded fk administered intraduodenally significant potent inhibitory action exocrine pancreas stimulated exogenous cck intraduodenal casein
7542768,"Stimulatory effect of ursodeoxycholate on pancreatic exocrine secretion in an in vitro study. Ursodeoxycholate (UDCA; 300 microM) significantly stimulates amylase secretion from isolated rat pancreatic acini but not Ca2+ mobilization. Removal of extracellular Ca2+ completely abolished the UDCA-stimulated secretory response. Ca ionophore (A23187) potentiated the response. However, staurosporine, a protein kinase C inhibitor, did not affect the UDCA-stimulated amylase secretion. These results indicated that UDCA directly acted on the pancreatic acini and stimulated amylase secretion by the mechanism of stimulation of influx of extracellular Ca2+, but not through inositol [1,4,5] triphosphate and diacylglycerol formation or Ca2+ mobilization.",Gene therapy,stimulatory effect ursodeoxycholate pancreatic exocrine secretion vitro study ursodeoxycholate udca microm significantly stimulates amylase secretion isolated rat pancreatic acinus ca mobilization removal extracellular ca completely abolished udcastimulated secretory response ca ionophore potentiated response however staurosporine protein kinase inhibitor affect udcastimulated amylase secretion result indicated udca directly acted pancreatic acinus stimulated amylase secretion mechanism stimulation influx extracellular ca inositol triphosphate diacylglycerol formation ca mobilization
