pubmed_id,titre,abstract
7537828,Assessment of quantitative models for plasmid ColE1 copy number control,Two quantitative models of plasmid ColE1 copy number control are compared with respect to mathematical logic of derivation and application to experimental observations
7537702,A serotype-specific epitope of dengue virus 1 identified by phage displayed random peptide library,"From a panel of monoclonal antibodies of dengue viruses, a serotype-specific epitope of dengue virus 1 was screened from a random peptide library displayed on phage"
7537695,IL-1-induced nitric oxide inhibits chondrocyte proliferation via PGE2,IL-1 inhibits chondrocyte proliferation induced by TGF beta or serum
7537678,Suppression of adjuvant-induced arthritis by selective inhibition of inducible nitric oxide synthase,"Adjuvant-induced arthritis is a model of chronic inflammation that exhibits several pathological changes similar to those occurring in rheumatoid arthritis, an autoimmune disease in humans characterized by chronic inflammation of the joints"
7537677,Comparison of the induction of cyclooxygenase and nitric oxide synthase by endotoxin in endothelial cells and macrophages,Endotoxin causes the expression of inducible nitric oxide (NO) synthase and cyclooxygenase-2
7537491,Sequence variation and biological activity of rubella virus isolates,Haemagglutination (HA) by rubella virus is mediated by the E1 glycoprotein
7537239,Immunological disorder against the Epstein-Barr virus infection and prognosis in patients with cervical carcinoma,Epstein-Barr virus antigen-specific killer T cell (EBV-KT) activity and Epstein-Barr virus (EBV) shedding at uterine cervix and oropharynx were examined in patients with cervical carcinoma
7537108,"Cancer biotherapy with interferon, interleukin-2 and tumor-derived activated cells (TDAC)",Interleukin-2 (Il-2) allows for the therapeutic augmentation of immunity in vivo and/or in vitro
7536651,Colocalization of NADPH-diaphorase staining and VIP immunoreactivity in neurons in opossum internal anal sphincter,Nitric oxide and vasoactive intestinal polypeptide (VIP) are important inhibitory neurotransmitters mediating relaxation of the internal anal sphincter
7536635,Transient expression of human interleukin-2 and interferon-gamma genes is regulated by interaction between distinct cell subsets,"The level of transient expression of human IL-2 and IFN-gamma genes, we show, is regulated by dynamic interaction between two functionally distinct cell populations"
7536187,The effects of varying key steps in the non-radioactive in situ hybridization protocol: a quantitative study,"In situ hybridization represents a major advance in the study of gene expression and, thus, in the evaluation of cellular function in histological sections"
7536132,Extent of RNA editing of glutamate receptor subunit GluR5 in different brain regions of the rat,1
7536130,Minimal determinant expressed by a recombinant vaccinia virus elicits therapeutic antitumor cytolytic T lymphocyte responses,"Anticancer vaccine strategies can now target intracellular antigens that are involved in the process of malignant transformation, such as oncogene products or mutated tumor suppressor genes"
7535900,The association of urinary 5-hydroxyindoleacetic acid and vanillylmandelic acid in patients with generalized anxiety,There is evidence that serotonin and norepinephrine are in some way involved in the pathophysiology of anxiety disorders
7535883,The use of photoactivatable reagents for the study of cell lineage in Drosophila embryogenesis,Photoactivatable lineage tracers represent a major advance for clonal analysis in the early embryo and the study of cell movements
7535809,"NADPH-diaphorase in the central nervous system of the tench (Tinca tinca L., 1758)",The distribution and morphological characterization of nicotinamide adenine dinucleotide phosphate-diaphorase (ND)-positive cells and fibers in the tench central nervous system was mapped by using a direct histochemical method
7535071,The changing face of stem cell transplantation by the use of recombinant human granulocyte colony stimulating factor,"The use of peripheral blood progenitor cells (PBPC) for autografting following high-dose chemotherapy in a variety of malignancies has increased markedly with the advent of efficacious and safe myeloid growth factors, which have dramatically improved collection yields"
7534970,Serum tetranectin in patients with acute pelvic inflammatory disease (PID),Correlation to clinical and laboratory findings
