pubmed_id,titre,abstract
7537726,"In vitro induction of cytotoxic T lymphocytes against HTLV-I-infected T-cells from adult T-cell leukemia patients, asymptomatic HTLV-I carriers and seronegative healthy donors","We investigated an in vitro method to produce cytotoxic T lymphocytes (CTLs) against HTLV-I-infected T-cells using peripheral blood mononuclear cells (PBMC) of adult T-cell leukemia (ATL) patients, asymptomatic HTLV-I carriers (AC) and seronegative healthy donors"
7535796,Cytokines from activated T cells induce normal endothelial cells to acquire the phenotypic and functional features of AIDS-Kaposi's sarcoma spindle cells,"Kaposi's sarcoma (KS) is a proliferative disease of vascular origin particularly frequent in HIV-1-infected homosexual men (AIDS-KS) and characterized by proliferating spindle-shaped cells, angiogenesis, and inflammatory cell infiltration"
7532808,Neuroprotective effect of acidic fibroblast growth factor on seizure-associated brain damage,The neuroprotective effect of acidic fibroblast growth factor (aFGF) has been analysed in a rat model of seizures-associated brain damage
7524462,Elevated cerebrospinal fluid levels of oxytocin in obsessive-compulsive disorder,Comparison with Tourette's syndrome and healthy controls
7520644,[Symptomatic treatment of amyotrophic lateral sclerosis],"During a twelve year period 58 patients with motor neurone disease were admitted to the Department of Neurology, Odense University Hospital"
7501868,Bioaccumulation of polycyclic aromatic hydrocarbons by marine organisms,"Polycyclic aromatic hydrocarbons (PAHs) are ubiquitous in the marine environment, occurring at their highest environmental concentrations around urban centers"
7521492,Effects of S-dobutamine on ischemic myocardium caused by coronary artery narrowing,Cardiovascular effects of S-dobutamine were compared with effects of vehicle and other catecholamines in dogs during and after 3 days of approximately 90% ligation of the left anterior descending coronary artery (LAD)
7521155,Acquisition of resistance to 6-azauridine through DNA amplification in neoplastic but not normal osteoblasts,"In this communication, we have characterized the resistance to AZUrd in tumorigenic mouse C3H-OS osteosarcoma cells and non-tumorigenic MC3T3-E1 osteoblast cells"
7520194,[Agranulocytosis induced by drugs,Rapid recovery with the early use of G-CSF]
7519992,Impact of prostate-specific antigen density in benign prostatic hyperplasia and prostate carcinoma,Preliminary results
7516130,Immunodiagnosis of childhood pulmonary and extrapulmonary tuberculosis using Mycobacterium tuberculosis ES antigen by penicillinase ELISA,The diagnostic potential for detection of IgG to Mycobacterium tuberculosis excretory secretory (ES) antigen in childhood pulmonary and extrapulmonary tuberculosis was explored
7516049,Choroid plexus metastasis from gastric cancer--case report,A 64-year-old male presented with a unique choroid plexus metastasis from gastric cancer
7516028,Enhanced B-lymphocyte expression of IL-2R alpha associated with T lymphocytosis in BLV-infected persistently lymphocytotic cows,"Peripheral blood lymphocytes from bovine leukemia virus (BLV)-negative and BLV-infected, aleukemic cows with persistent lymphocytosis were evaluated for expression of B and T lymphocyte subset-specific molecules and co-expression of the interleukin-2 receptor alpha (IL-2R alpha) molecule"
7511773,Immunogenicity and evolutionary variability of epitopes within IgA1 protease from serogroup A Neisseria meningitidis,Five murine epitopes were defined and mapped within IgA1 protease produced by Neisseria meningitidis
7511582,Alp suppression of Lon: dependence on the slpA gene,"We have previously found that plasmids carrying the Escherichia coli alp gene (now to be called alpA) suppress two phenotypes of a delta lon protease mutant, overproduction of capsular polysaccharide and sensitivity to UV light"
7509459,Azelastine and allergen transduction signal in MC9 mast cells,"MC9 mast cells, sensitized with monoclonal IgE antibody specific for 2,4-dinitrophenyl (DNP) group, were exposed to DNP-BSA and the pH and cytosolic calcium signals were recorded by using the fluorescent probes BCECF and Fura-2 respectively"
7509414,Differential modulation of organophosphate-sensitive muscarinic receptors in rat brain by parathion and chlorpyrifos,We previously reported similar levels of brain cholinesterase inhibition but marked differences in toxicity following acute maximum tolerated doses of the organophosphate pesticides parathion and chlorpyrifos
7508154,"L-arginine infusion promotes nitric oxide-dependent vasodilation, increases regional cerebral blood flow, and reduces infarction volume in the rat","We previously reported that L-arginine infusion increased pial vessel diameter by nitric oxide-dependent mechanisms, improved regional cerebral blood flow (rCBF) distal to middle cerebral artery (MCA) occlusion, and reduced infarction volume in spontaneously hypertensive rats when administered intraperitoneally before and after MCA occlusion"
7506083,Effects of stem cell factor (kit-ligand) and interleukin-3 on the growth and serine proteinase expression of rat bone-marrow-derived or serosal mast cells,"The effects of rat stem-cell factor (SCF) and interleukin-3 (IL-3), alone or in combination, on the in vitro growth and serine proteinase expression of rat serosal/connective-tissue mast cells (CTMC) or bone marrow-derived mast cells (BMMC) were examined"
7500167,Cholecystokinin depolarizes rat thalamic reticular neurons by suppressing a K+ conductance,1
7499054,The current status and future challenges of psychiatric/mental health nursing,"To obtain a global picture of the current status of nursing education and nursing practice in the mental health/psychiatric field, the International Council of Nurses (ICN) sent a questionnaire to 23 of its 101 member associations"
7498663,Role of hepatocytes in direct clearance of lipopolysaccharide in rats,The liver is the clearance organ for lipopolysaccharide (LPS)
7470209,Effects of lipoproteins on plasma viscosity,Patients with hypertriglyceridemia and mixed hyperlipidemia have been found to have mean plasma viscosities significantly higher than controls (P less than 0.005)
7470203,Cholestyramine in type IIa hyperlipoproteinemia,Is low-dose treatment feasible?
7527426,Quantitation of hepatitis C virus genome molecules in plasma samples,"A competitive reverse transcription PCR (cRT-PCR)-based assay for the quantitative detection of hepatitis C virus (HCV) viremia was developed, optimized, and applied to the direct molecular analysis of clinical samples from nine patients with persistent HCV infection"
7527290,alpha 4 beta 2 subunit combination specific pharmacology of neuronal nicotinic acetylcholine receptors in N1E-115 neuroblastoma cells,"Pharmacological characteristics of native neuronal nicotinic acetylcholine receptor-mediated ion currents in mouse N1E-115 neuroblastoma cells have been investigated by superfusion of voltage clamped cells with known concentrations of the agonists acetylcholine, nicotine and cytisine, and the antagonists alpha-bungarotoxin and neuronal bungarotoxin"
7526660,Investigations with the selective PKC inhibitor chelerythrine on human basophils,Modulation of protein kinase C (PKC) activity in basophils (B) can influence IgE-mediated histamine release (HR)
7526609,Mechanism of interferon action,Translational control and the RNA-dependent protein kinase (PKR): antagonists of PKR enhance the translational activity of mRNAs that include a 161 nucleotide region from reovirus S1 mRNA
7511214,Nucleotide sequence analysis and epitope mapping of the merozoite surface protein 1 from Plasmodium chabaudi chabaudi AS,The complete nucleotide sequence of the gene encoding the merozoite surface protein 1 (MSP-1) from the rodent malaria parasite Plasmodium chabaudi chabaudi AS has been determined by direct sequencing of overlapping PCR derived fragments
7510745,Characterization of rabbit complement component C8,Functional evidence for the species-selective recognition of C8 alpha by homologous restriction factor (CD59)
7510737,Effect of dietary salt restriction on urinary serotonin and 5-hydroxyindoleacetic acid excretion in man,To determine the effect of dietary salt restriction on urinary excretion of serotonin and its principal metabolite 5-hydroxyindoleacetic acid (5-HIAA) in man
7495376,Assessment of primary neuronal culture as a model for soman-induced neurotoxicity and effectiveness of memantine as a neuroprotective drug,An in vitro mammalian model neuronal system to evaluate the intrinsic toxicity of soman and other neurotoxicants as well as the efficacy of potential countermeasures was investigated
7492244,Isolated nail fold vasculitis in rheumatoid arthritis,To establish the clinical significance of isolated nail fold vasculitis in patients with rheumatoid arthritis (RA)
7526178,Induction of micronuclei by stilbene-type and steroidal estrogens in Syrian hamster embryo and ovine seminal vesicle cells in vitro,The induction of micronuclei (MN) is a known effect of the carcinogenic estrogen diethylstilbestrol (DES)
7525328,Rapid exit from G0/G1 phases of cell cycle in response to stem cell factor confers on umbilical cord blood CD34+ cells an enhanced ex vivo expansion potential,"Currently, the most commonly used grafts of progenitor and stem cells for patients undergoing bone marrow transplantation (BMT) are derived from large collections of autologous or allogeneic adult human bone marrow (BM)"
7524440,Identifying members of the domain Archaea with rRNA-targeted oligonucleotide probes,Two 16S rRNA-targeted oligonucleotide probes were designed for the archaeal kingdoms Euryachaeota and Crenarchaeota
7523517,Differential effects of blockade of CD28-B7 on the development of Th1 or Th2 effector cells in experimental leishmaniasis,Infection of inbred strains of mice with Leishmania major is a well-characterized model for analysis of the development of effector CD4+ subsets of the Th1 and Th2 types in vivo
7519271,Regulation of the transcription of a cluster of Bacillus subtilis spore coat genes,The pattern of transcription has been examined for a cluster of genes encoding polypeptides some or all of which are assembled into a cross-linked component of the Bacillus subtilis spore coat
7517858,Distributed current analyses of bi-hemispheric magnetic N1m responses to ipsi/contralateral monaural stimuli from a single subject,Magnetoencephalographic (MEG) responses of both auditory cortices to simple auditory stimuli presented monaurally to either ear were recorded from a single subject
7523919,Effects of dietary restriction on induction of unscheduled DNA synthesis (UDS) and replicative DNA synthesis (RDS) in rat liver,The effects of dietary restriction on the induction of unscheduled DNA synthesis (UDS) and replicative DNA synthesis (RDS) were studied in the hepatocytes of F344 rats exposed in vivo to dimethylnitrosamine (DMN) or CCl4
7523104,Regulation of antioxidant enzymes in lung after oxidant injury,Studies have implicated active oxygen species (AOS) in the pathogenesis of various lung diseases
7522993,"[Relationship between the presynaptic depolarization effect of acupuncture and r-aminobutyric acid, opioid peptide and substance P]","The present study was performed on 22 cats to explore whether r-aminobutyric acid (GABA), endogenous opioid peptide and substance P (SP) were involved in the regulation of presynaptic inhibition in acupuncture analgesia"
7522990,Characterization of the excitable gap in a functionally determined reentrant circuit,Studies in the sterile pericarditis model of atrial flutter
7522230,Temporal regulation of non-transmembrane protein tyrosine kinase enzyme activity following T cell antigen receptor engagement,"We evaluated in Jurkat T cells the time-dependent responses of Fyn, Lck, Syk, and Zap following antibody-mediated cross-linking of the T cell antigen receptor"
7521921,A simian immunodeficiency virus envelope V3 cytotoxic T-lymphocyte epitope in rhesus monkeys and its restricting major histocompatibility complex class I molecule Mamu-A*02,The use of the simian immunodeficiency virus (SIV) macaque model for assessing human immunodeficiency virus vaccine strategies will be facilitated by the characterization of predominant SIV cytotoxic T-lymphocyte (CTL) epitopes and their restricting major histocompatibility complex (MHC) class I molecules in macaque species
7521428,[Histological assessment of the liver long after interferon treatment in patients with chronic type C hepatitis],"The effects of interferon on chronic hepatitis C long after the treatments were assessed biochemically, virologically and histologically"
7521414,[Serum levels of HCV-RNA determined by branched DNA (bDNA) probe assay in chronic hepatitis C: method and clinical significance on interferon (IFN) therapy],Recently serum levels of HCV RNA (s-HCV RNA) in chronic hepatitis C has been regarded as one of an important indicator for the activity of disease and outcome of IFN therapy
7521371,Ichthyosis bullosa of Siemens--a disease involving keratin 2e,Ichthyosis bullosa of Siemens (IBS) is a congenital bullous ichthyosis without erythroderma
7519539,Demonstration of fibrils in the hyaline globules of yolk sac tumor with parietal differentiation in fine-needle aspiration smears,Hyaline globules of the yolk sac tumor (YST) have been described as homogeneous pink intracellular globules and intercellular basement membrane material [Akhtar et al.: Diagn Cytopathol 1990:6:184-192]
7497443,"Expression of common fragile sites in lymphocytes of Wilms tumor in patients, their parents, and siblings","Fragile site expression in blood lymphocytes of 56 individuals, including 11 Wilms tumor patients, family members, and controls, was studied by 5-fluorodeoxyuridine induction with caffeine enhancement"
7519695,Antihypertensive therapy and progression of diabetic renal disease,A number of changes in intrarenal hemodynamics and morphology are characteristic of diabetic nephropathy
7518953,Molecular biology of glutamate receptors,Potentiation of N-methyl-D-aspartate receptor splice variants by zinc
7518891,[Changes in the acaricidal properties of organophosphorus compounds under the influence of magnetic resonance treatment],"The authors demonstrate the possibility of enhancing pesticidal properties of some organophosphorus compounds by their single treatment for 40 min by pulsed magnetic field, 100 kHz, 10-15 microT with 16 Hz sinusoidal modulation"
7518400,Injection of a K+ channel (Kv1.3) cRNA in fertilized eggs leads to functional expression in cultured myotomal muscle cells from Xenopus embryos,The synthetic cRNA encoding for the major T lymphocyte K+ channel (Kv1.3) was injected into Xenopus fertilized eggs
7517783,Refractive corneal surgery with the Draeger rotary microkeratome in human cadaver eyes,Instrumentation for performing a uniform lamellar keratoplasty has been undergoing various stages of refinement
7502668,[A case of Folie a Deux in a husband-wife couple],"We described a case of ""folie à deux"" in a wife husband couple"
7499292,Mass and positional isotopomer analysis of glucose metabolism in periportal and pericentral hepatocytes,"To determine whether the source of carbon for the indirect pathway of hepatic glycogen synthesis differs between the periportal and pericentral zones, we studied seven 24-h-fasted conscious rats given a constant 2-h intraduodenal infusion of glucose, 40% labeled with [U-13C]glucose (99% 13C enriched), to raise and maintain plasma glucose concentration at approximately 10 mM"
7488757,Seasonal variations in circadian rhythms persist in gonadectomized golden-mantled ground squirrels,Circadian wheel-running activity was monitored in intact and gonadectomized female and male golden-mantled ground squirrels maintained in a 14L:10D photoperiod at 21 degrees C
7504726,Inhibitory synaptic currents in stellate cells of rat cerebellar slices,1
7503980,"Rapamycin-FKBP12 blocks proliferation, induces differentiation, and inhibits cdc2 kinase activity in a myogenic cell line","Rapamycin is a potent immunosuppressant that binds to the cytosolic protein, FKBP12, and blocks T cell activation"
7503693,Molecular analysis of rice ragged stunt oryzavirus segment 9 and sequence conservation among isolates from Thailand and India,Nucleotide sequences of rice ragged stunt virus (RRSV) genome segment 9 (S9) from a Thai and an Indian isolate were determined
7479245,[Clinical picture and outcome of conservative treatment for obstructive sleep apnea],The aim of the study was to assess the clinical picture of patients with obstructive sleep apnea (OSA) and to investigate the long term effectiveness of treatment with continuous positive airway pressure (CPAP)
7477899,Mu-opioid agonist enhancement of prostaglandin-induced hyperalgesia in the rat: a G-protein beta gamma subunit-mediated effect?,"Guanine nucleotide-binding regulatory protein stimulation of adenylyl cyclase has been shown to be an important second messenger system for many processes, including mechanical hyperalgesia"
7518654,"In vitro effects of H1-antihistamines on histamine and PGD2 release from mast cells of human lung, tonsil, and skin",Mast cells from different anatomic sites differ in cytochemistry and response to various secretory stimuli
7517641,Immunochemical detection of inducible NO synthase in human lung,"Type II (inducible) nitric oxide synthase (NOS) may play an important role in pulmonary pathophysiology, yet it remains controversial whether human tissues are capable of expressing this protein"
7513689,Evidence for a second alpha 2-macroglobulin receptor,"alpha 2-Macroglobulin (alpha 2M)-methylamine binds to purified low density lipoprotein receptor-related protein (LRP), and it is assumed that LRP functions as the alpha 2M receptor in vivo"
7502267,[Sense and nonsense in infection prevention following organ transplantation],Incidence and severity of infectious complications in solid-organ transplant recipients depend on the epidemiological exposure of the patients to infectious agents and the degree of immunosuppression
7497761,"The effects of pentoxifylline on oxygenation, diffusion of carbon monoxide, and exercise tolerance in patients with COPD","Pentoxifylline has been reported previously in an unblinded study to improve oxygen saturation, treadmill walk time, and resting diffusion of carbon monoxide (Dco) in patients with COPD"
7497759,Acute lung injury during cardiopulmonary bypass,Are the neutrophils responsible?
7497757,Cardiopulmonary bypass temperature does not affect postoperative euthyroid sick syndrome?,To determine if temperature during cardiopulmonary bypass (CPB) has an effect on perioperative and postoperative thyroid function
7496995,Hyperosmolality stimulates phospholipase A2 activity in rabbit renal medulla and in Madin-Darby canine kidney (MDCK) cells,Renal medullary cells are able to accumulate glycerophosphocholine during adaptation to the high extracellular osmolality
7496614,Prostaglandins and sleep,"The concept of humoral regulation of sleep was initially proposed by a French neuroscientist, Henri Piéron of Paris, in the first decade of this century"
7496479,[Pediatric aspects of anthracycline cardiotoxicity and practical implications for prevention],"Discovered during the sixties, anthracycline antibiotics are today widely used anti-cancer drugs"
7496472,[French epidemiological survey of burns in children under 5 years of age],To add to epidemiological data concerning serious accidents in the home in France
7492737,Prostaglandin H synthase-catalyzed ring oxygenation of 2-naphthylamine: evidence for two distinct oxidation pathways,Previous studies showed that prostaglandin H synthase (PHS) cooxidizes 2-naphthylamine (2-NA) to ring-oxygenated products
7490298,Successful histocompatible myoblast transplantation in dystrophin-deficient mdx mouse despite the production of antibodies against dystrophin,Myoblast transplantation has been considered a potential treatment for some muscular disorders
7486399,Effect of glucocorticoids on serum osteocalcin concentration in horses,"The effects of dexamethasone (0.2 mg/kg of body weight; IV, IM, and PO) and methylprednisolone acetate (120 mg given intra-articularly) on serum osteocalcin and cortisol concentrations were studied in 6 horses"
7504491,Serum amyloid A (SAA): an acute phase protein and apolipoprotein,Serum amyloid A (SAA) proteins comprise a family of apolipoproteins coded for by at least three genes with allelic variation and a high degree of homology between species
7504450,The contact allergens nickel chloride and cobalt chloride directly induce expression of endothelial adhesion molecules,Activation of vascular endothelium is a key event in the initial phase of an inflammatory reaction e.g
7504089,NMDA and AMPA receptors in transgenic mice expressing human beta-amyloid protein,"The human beta-amyloid protein may play an important, possibly primary, role in the pathogenesis of Alzheimer's disease (AD), and it appears to potentiate the susceptibility of neurons to excitotoxicity"
7504027,Expression of an epitope as detected by the novel monoclonal antibody 4F7 on dermal and epidermal dendritic cells,I
7500648,Abnormal regional hypermethylation of the calcitonin gene in myelodysplastic syndromes,Abnormal regional hypermethylation of the calcitonin gene can be detected in up to 95% of patients with acute nonlymphocytic leukemia (ANLL)
7500609,[Dwarfism in pericentric inversion of the X-chromosome],We report on a 9 2/12 year old girl with pericentric inversion of the X-chromosome
